Repo,Org,Language,Dep Count,Top 25 Dependencies
wn-tui,marmot-protocol,Rust,15.0,"serde, serde_json, tokio, anyhow, bech32, chrono, futures, image, dirs, tokio-stream, ratatui, crossterm, unicode-width, which, ratatui-image"
nostrify,soapbox-pub,TypeScript,14.0,"typescript, @types/node, nostr-tools, zod, @changesets/cli, esbuild, mock-socket, websocket-ts, @types/sinon, glob, lerna, lru-cache, sinon, turbo"
nostr-stats,andotherstuff,Svelte,13.0,"typescript, tailwindcss, vite, @tailwindcss/typography, @tailwindcss/vite, chart.js, @biomejs/biome, @sveltejs/adapter-auto, @sveltejs/adapter-vercel, @sveltejs/kit, @sveltejs/vite-plugin-svelte, svelte, svelte-check"
cdk-flutter,cashubtc,Dart,12.0,"flutter, flutter_rust_bridge, freezed_annotation, plugin_platform_interface, flutter_test, flutter_lints, build_runner, freezed, provider, ffi, ffigen, integration_test"
openmls-redb-storage,marmot-protocol,Rust,10.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, hex, tempfile, openmls_traits, log, redb"
openmls-sled-storage,marmot-protocol,Rust,10.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, hex, tempfile, openmls_traits, log, sled"
openmls-lmdb-storage,marmot-protocol,Rust,8.0,"serde, serde_json, thiserror, hex, tempfile, openmls_traits, log, heed"
coco,cashubtc,TypeScript,6.0,"typescript, prettier, @changesets/cli, @types/bun, tsdown, vitepress"
marmot-web,marmot-protocol,—,6.0,"vue, @vuepress/bundler-vite, @vuepress/helper, @vuepress/theme-default, sass-embedded, vuepress"
keycast,andotherstuff,HTML,4.0,"nostr-tools, @types/bun, concurrently, playwright"
mdk-kotlin,marmot-protocol,Kotlin,4.0,"net.java.dev.jna:jna, androidx.annotation:annotation, org.jetbrains.kotlinx:kotlinx-coroutines-core, junit:junit"
propose,marmot-protocol,Rust,3.0,"openmls, openmls_rust_crypto, openmls_basic_credential"
xcashu,cashubtc,Python,2.0,"cashu, python"
parres.org,marmot-protocol,HTML,2.0,"tailwindcss, @tailwindcss/cli"
website,andotherstuff,HTML,1.0,vite
mdk-python-example,marmot-protocol,Python,1.0,nostr_sdk
aos-hubs,andotherstuff,—,0.0,
approve72,andotherstuff,TypeScript,0.0,
cashu-faucet-worker,andotherstuff,TypeScript,0.0,
garland,andotherstuff,Kotlin,0.0,
garland-protocol,andotherstuff,—,0.0,
hosted_nostr_auth_server,andotherstuff,Rust,0.0,
nips,andotherstuff,—,0.0,
nostr-compass,andotherstuff,Markdown,0.0,
otherstuff-relay,andotherstuff,TypeScript,0.0,
universes,andotherstuff,—,0.0,
BTCNutServer,cashubtc,C#,0.0,
Numo,cashubtc,Kotlin,0.0,
awesome-cashu,cashubtc,—,0.0,
cashu-skill,cashubtc,JavaScript,0.0,
cashurpc,cashubtc,—,0.0,
cdk-dart,cashubtc,—,0.0,
cdk-go,cashubtc,Go,0.0,
cdk-kotlin,cashubtc,Kotlin,0.0,
cdk-python,cashubtc,Python,0.0,
cdk-swift,cashubtc,Swift,0.0,
dev-calls,cashubtc,—,0.0,
lnbits-cashu,cashubtc,Python,0.0,
nuts,cashubtc,—,0.0,
.github,marmot-protocol,—,0.0,
agent-config,marmot-protocol,TypeScript,0.0,
dr.marmot,marmot-protocol,JavaScript,0.0,
ipf.dev,marmot-protocol,HTML,0.0,
marmot,marmot-protocol,—,0.0,
mdk-kotlin-example,marmot-protocol,Kotlin,0.0,
mdk-python,marmot-protocol,Python,0.0,
mdk-ruby,marmot-protocol,Ruby,0.0,
mdk-ruby-example,marmot-protocol,Ruby,0.0,
mdk-swift,marmot-protocol,Swift,0.0,
mdk-web,marmot-protocol,—,0.0,
media-assets,marmot-protocol,Cython,0.0,
mls-ts,marmot-protocol,TypeScript,0.0,
whitenoise-archive,marmot-protocol,Dart,0.0,
whitenoise-meta,marmot-protocol,—,0.0,
docs-legacy,soapbox-pub,Markdown,0.0,
mkstack,soapbox-pub,TypeScript,0.0,
mkstack-nsp,soapbox-pub,TypeScript,0.0,
mostr-uptime,soapbox-pub,Markdown,0.0,
nostr-skills,soapbox-pub,—,0.0,
openclaw-skills,soapbox-pub,—,0.0,
seeded-rsa,soapbox-pub,TypeScript,0.0,
soapbox-be,soapbox-pub,Elixir,0.0,
soapbox.pub,soapbox-pub,TypeScript,0.0,
